                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1924,                 4.7063,                 1.1689,                 0.0022,                0.40841,                0.00162,                0.00104,                 1.0568,                 4.2721,                 1.1357,               0.067625,             3.2407e-05,             3.2407e-05
                      2,                 1.0368,                  4.297,                 1.0734,                0.00299,                0.54955,                0.00307,                0.00216,                0.88227,                 4.1685,                 1.0028,               0.034322,             6.3111e-05,             6.3111e-05
                      3,                0.99148,                  4.108,                 1.0285,                0.00406,                0.78979,                0.01463,                0.01109,                0.83529,                 3.9499,                0.95019,              0.0010171,             9.1148e-05,             9.1148e-05
                      4,                0.92674,                 3.6401,                0.98834,                 0.9243,                0.25668,                0.66721,                0.50869,                0.86297,                 3.2217,                0.92908,                8.8e-05,                8.8e-05,                8.8e-05
                      5,                0.94363,                  2.692,                0.96788,                0.82135,                0.71772,                0.83311,                0.62951,                0.85891,                 1.9085,                0.91489,                8.8e-05,                8.8e-05,                8.8e-05
                      6,                0.93651,                 2.1146,                0.98055,                0.79888,                0.87078,                0.90232,                0.68843,                0.83332,                  1.619,                0.91017,                8.4e-05,                8.4e-05,                8.4e-05
                      7,                0.89282,                 1.9407,                0.95256,                0.90687,                0.87728,                0.94482,                0.72709,                0.81915,                 1.5166,                0.90825,                  8e-05,                  8e-05,                  8e-05
                      8,                0.87973,                 1.8292,                0.95363,                0.92581,                0.88889,                0.96095,                0.74391,                0.80728,                 1.4231,                 0.9076,                7.6e-05,                7.6e-05,                7.6e-05
                      9,                0.83499,                 1.7009,                0.93308,                0.94592,                0.90691,                0.97041,                0.74436,                0.81022,                 1.3554,                0.90697,                7.2e-05,                7.2e-05,                7.2e-05
                     10,                0.83631,                 1.6856,                0.93354,                0.94178,                0.92304,                 0.9764,                0.75603,                0.80402,                 1.3289,                0.90269,                6.8e-05,                6.8e-05,                6.8e-05
                     11,                0.78483,                 2.0047,                0.90969,                0.95021,                0.91701,                0.97842,                 0.7586,                0.80825,                 1.4141,                0.90621,                6.4e-05,                6.4e-05,                6.4e-05
                     12,                0.76828,                 1.9221,                0.91032,                0.96599,                0.91592,                0.97921,                 0.7621,                0.81477,                 1.3617,                 0.9046,                  6e-05,                  6e-05,                  6e-05
                     13,                0.76378,                 1.8868,                0.89992,                 0.9716,                0.92465,                0.98194,                 0.7674,                0.80858,                 1.3161,                0.90134,                5.6e-05,                5.6e-05,                5.6e-05
                     14,                0.74472,                 1.8125,                0.90143,                0.96069,                0.93694,                0.98466,                0.76668,                0.79961,                 1.2703,                0.90046,                5.2e-05,                5.2e-05,                5.2e-05
                     15,                0.75301,                 1.7937,                0.89881,                0.97025,                0.95195,                0.98614,                0.77435,                0.78667,                 1.2598,                0.89633,                4.8e-05,                4.8e-05,                4.8e-05
                     16,                0.74811,                 1.8082,                 0.9012,                0.96722,                0.93994,                0.98647,                0.77331,                0.78849,                  1.232,                0.89512,                4.4e-05,                4.4e-05,                4.4e-05
                     17,                0.75247,                 1.7684,                0.88931,                0.97514,                0.94247,                0.98739,                 0.7747,                0.78845,                 1.2265,                0.89346,                  4e-05,                  4e-05,                  4e-05
                     18,                0.75225,                 1.7578,                0.89478,                0.98117,                0.93874,                0.98789,                0.77373,                0.78887,                 1.2115,                0.89439,                3.6e-05,                3.6e-05,                3.6e-05
                     19,                0.75109,                 1.7562,                0.89926,                0.97734,                0.94895,                0.98866,                0.77656,                0.78587,                 1.1997,                 0.8931,                3.2e-05,                3.2e-05,                3.2e-05
                     20,                0.72153,                 1.7243,                 0.8852,                0.97626,                0.94895,                0.98882,                 0.7759,                0.78302,                 1.1836,                0.89257,                2.8e-05,                2.8e-05,                2.8e-05
